City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Turtas,RU,58.9417,69.1325,52.07,94,100,14.43,light rain
323,Aksarka,RU,66.5606,67.7975,70.38,31,8,2.64,clear sky
324,Asilah,MA,35.465,-6.0348,69.76,77,6,7.07,clear sky
325,Lagoa,PT,39.05,-27.9833,64.29,90,57,20.22,broken clouds
326,Airai,TL,-8.9266,125.4092,67.46,77,97,4.18,overcast clouds
327,Iskateley,RU,67.6803,53.1512,60.46,48,79,7.94,broken clouds
328,San Diego De Los Banos,CU,22.6467,-83.3697,75.83,91,100,3.83,overcast clouds
329,Bilma,NE,18.6853,12.9164,93.99,13,35,8.68,scattered clouds
330,Juneau,US,58.3019,-134.4197,56.21,88,40,3.44,scattered clouds
331,Nuuk,GL,64.1835,-51.7216,41.61,75,1,2.3,clear sky
332,Leh,IN,34.1667,77.5833,59.77,30,69,3.11,broken clouds
333,Lucapa,AO,-8.4192,20.7447,71.74,35,7,9.71,clear sky
334,Okha,RU,53.5739,142.9478,42.64,94,100,7.49,light rain
335,Wonthaggi,AU,-38.6044,145.5913,49.82,75,100,18.25,light rain
336,Kruisfontein,ZA,-34.0033,24.7314,69.98,32,0,12.15,clear sky
337,Rovnoye,RU,50.7765,46.0509,65.59,50,0,13.69,clear sky
338,Ancud,CL,-41.8697,-73.8203,51.22,85,100,17.18,light rain
339,Ust-Nera,RU,64.5667,143.2,63.09,22,3,8.59,clear sky
340,Prikubanskiy,RU,45.0015,41.1795,78.17,51,33,15.14,scattered clouds
341,Anadyr,RU,64.75,177.4833,45.1,65,0,8.95,clear sky
342,Perivolion,GR,39.4206,20.0147,78.66,77,15,10.04,few clouds
343,Coffs Harbour,AU,-30.3,153.1333,53.56,62,0,4.61,clear sky
344,Alofi,NU,-19.0595,-169.9187,67.89,88,3,3.44,clear sky
345,Teya,RU,60.3778,92.6267,61.11,38,100,4.03,overcast clouds
346,Krasnoufimsk,RU,56.6059,57.7669,50.25,94,100,10.6,overcast clouds
